CurrentStage,Stream,Skill,Interest,Goal,RecommendedCourse,Career,FutureScope
10th,General,Math,Engineering,Job,MPC,Engineer,Tech Lead
10th,General,Coding,Computers,Job,MPC,Software Engineer,AI Engineer
10th,General,Problem Solving,AI,Job,MPC,AI Engineer,ML Architect
10th,General,Logical Thinking,Data Science,Higher Studies,MPC,Data Scientist,Chief Data Officer
10th,General,Biology,Medicine,Job,BiPC,Doctor,Surgeon
10th,General,Patient Care,Healthcare,Job,BiPC,Nurse,Hospital Director
10th,General,Chemistry,Pharmacy,Job,BiPC,Pharmacist,Drug Scientist
10th,General,Finance,Business,Startup,MEC,Entrepreneur,CEO
10th,General,Accounting,Finance,Job,MEC,Accountant,CFO
10th,General,Leadership,Management,Higher Studies,MEC,Business Manager,CEO
10th,General,Communication,Law,Government,CEC,Lawyer,Judge
10th,General,Public Speaking,Government,Government,CEC,Civil Servant,IAS Officer
10th,General,Writing,Media,Job,CEC,Journalist,Media Director
10th,General,Creativity,Design,Job,CEC,Graphic Designer,Creative Director
10th,General,Drawing,Architecture,Job,MPC,Architect,Urban Planner
10th,General,Discipline,Defense,Government,NDA,Army Officer,Defense Chief
10th,General,Creativity,Animation,Job,Fine Arts,Animator,Animation Director
10th,General,Hand Skills,Mechanical Work,Job,Diploma,Mechanical Technician,Plant Manager
10th,General,Electrical Skills,Electronics,Job,Diploma,Electrical Engineer,Power Systems Engineer
10th,General,Repair Skills,Technical Work,Job,ITI,Technician,Supervisor
Intermediate,MPC,Coding,AI,Job,BTech AI,ML Engineer,AI Researcher
Intermediate,MPC,Problem Solving,AI,Job,BTech AI,AI Engineer,AI Architect
Intermediate,MPC,Math,Data Science,Job,BTech Data Science,Data Scientist,Chief Data Officer
Intermediate,MPC,Logical Thinking,Cyber Security,Job,BTech Cyber Security,Security Analyst,Security Architect
Intermediate,MPC,Coding,Software Development,Job,BTech CSE,Software Engineer,Tech Lead
Intermediate,MPC,Math,Robotics,Higher Studies,BTech Robotics,Robotics Engineer,Automation Architect
Intermediate,MPC,Physics,Aerospace,Higher Studies,BTech Aerospace,Aerospace Engineer,Space Scientist
Intermediate,MPC,Drawing,Architecture,Job,BArch,Architect,Urban Planner
Intermediate,MPC,Discipline,Defense,Government,NDA,Army Officer,Defense Chief
Intermediate,MPC,Problem Solving,Engineering,Job,BTech Mechanical,Mechanical Engineer,Plant Director
